gameid,date,type,playerid,player,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,win,season
29600167,1996-11-23,regular,787,Charles Barkley,HOU,GSW,HOU,50,27,5,16,31.3,1,4,25.0,16,20,80.0,6,11,17,12,3,1,2,4,4,1,1997
29600358,1996-12-21,regular,762,Shawn Bradley,NJN,NJN,BOS,42,17,8,17,47.1,0,0,0.0,1,2,50.0,6,9,15,4,0,11,2,4,6,1,1997
29600545,1997-01-18,regular,255,Grant Hill,DET,LAL,DET,53,34,12,23,52.2,1,1,100.0,9,11,81.8,6,9,15,14,1,0,3,3,7,1,1997
29600571,1997-01-22,regular,349,Mark Jackson,DEN,DEN,VAN,44,15,7,15,46.7,1,3,33.3,0,0,0.0,6,10,16,12,3,0,3,1,14,1,1997
29600639,1997-02-01,regular,255,Grant Hill,DET,NJN,DET,43,22,7,14,50.0,0,0,0.0,8,8,100.0,0,11,11,11,1,1,1,3,8,1,1997
29600676,1997-02-06,regular,762,Shawn Bradley,NJN,NJN,IND,37,14,6,15,40.0,0,0,0.0,2,2,100.0,6,8,14,0,1,11,4,3,2,0,1997
29600700,1997-02-12,regular,134,Kevin Johnson,PHX,PHX,BOS,34,22,7,9,77.8,2,2,100.0,6,6,100.0,1,10,11,17,5,0,5,4,39,1,1997
29600809,1997-02-28,regular,255,Grant Hill,DET,BOS,DET,46,29,11,21,52.4,0,2,0.0,7,11,63.6,2,10,12,12,1,2,6,2,7,1,1997
29600840,1997-03-04,regular,193,Anthony Mason,CHH,CHH,SAS,46,19,7,10,70.0,0,0,0.0,5,6,83.3,2,11,13,12,0,1,2,4,11,1,1997
29600858,1997-03-06,regular,193,Anthony Mason,CHH,CHH,BOS,51,19,6,11,54.5,0,0,0.0,7,8,87.5,3,11,14,12,3,0,2,3,6,1,1997
29600948,1997-03-18,regular,56,Gary Payton,SEA,CHI,SEA,50,14,3,16,18.8,2,8,25.0,6,7,85.7,1,11,12,14,6,0,6,5,-5,0,1997
29601022,1997-03-28,regular,84,Latrell Sprewell,GSW,PHX,GSW,53,31,13,28,46.4,1,1,100.0,4,6,66.7,3,8,11,11,0,1,5,1,-7,0,1997
29601065,1997-04-04,regular,255,Grant Hill,DET,ATL,DET,43,22,9,17,52.9,0,0,0.0,4,6,66.7,2,10,12,12,3,2,1,1,-13,0,1997
29601138,1997-04-14,regular,255,Grant Hill,DET,ORL,DET,43,12,5,10,50.0,0,0,0.0,2,4,50.0,3,12,15,13,0,2,8,4,-12,0,1997
29601165,1997-04-18,regular,952,Antoine Walker,BOS,PHI,BOS,46,23,11,26,42.3,0,2,0.0,1,3,33.3,6,6,12,13,2,1,3,3,10,1,1997
29700225,1997-12-02,regular,787,Charles Barkley,HOU,HOU,DEN,39,15,4,10,40.0,0,0,0.0,7,8,87.5,5,6,11,12,2,0,1,1,23,1,1998
29700434,1998-01-02,regular,467,Jason Kidd,PHX,PHX,DAL,44,20,7,22,31.8,2,8,25.0,4,6,66.7,4,8,12,14,3,0,7,2,0,1,1998
29700692,1998-02-10,regular,393,Rod Strickland,WAS,GSW,WAS,42,21,7,18,38.9,0,1,0.0,7,9,77.8,3,9,12,20,2,0,5,2,23,1,1998
29700924,1998-03-15,regular,467,Jason Kidd,PHX,PHX,DAL,44,20,9,16,56.3,1,4,25.0,1,2,50.0,3,10,13,12,5,2,4,2,3,1,1998
29701077,1998-04-05,regular,393,Rod Strickland,WAS,WAS,ORL,46,21,8,18,44.4,0,0,0.0,5,6,83.3,0,11,11,13,1,0,4,2,-4,1,1998
29701080,1998-04-05,regular,255,Grant Hill,DET,DET,LAL,51,18,4,17,23.5,0,0,0.0,10,12,83.3,4,12,16,12,3,0,6,1,0,0,1998
29701095,1998-04-07,regular,762,Shawn Bradley,DAL,DAL,POR,38,22,6,15,40.0,0,0,0.0,10,10,100.0,5,17,22,0,1,13,2,3,17,0,1998
29701141,1998-04-14,regular,948,Marcus Camby,TOR,NJN,TOR,43,15,6,14,42.9,0,0,0.0,3,5,60.0,5,7,12,2,1,11,5,1,-2,1,1998
29701156,1998-04-15,regular,467,Jason Kidd,PHX,PHX,DEN,46,14,5,11,45.5,0,1,0.0,4,6,66.7,3,8,11,11,3,0,3,0,5,1,1998
29800076,1999-02-15,regular,467,Jason Kidd,PHX,DEN,PHX,42,28,9,17,52.9,0,1,0.0,10,13,76.9,3,8,11,13,0,2,1,2,16,1,1999
